Country.Region,Province.State,date,confirmed,recovered,deaths,hospitalized_symptoms,isolated_at_home,tested,close_observation,suspected,hospitalized_intensive,active,recoveries
Slovenia,total,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Somalia,total,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
South Africa,total,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Spain,total,2020-02-11,2,0,0,NA,NA,NA,NA,NA,NA,2,NA
Sri Lanka,total,2020-02-11,1,1,0,NA,NA,NA,NA,NA,NA,0,NA
Sudan,total,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Suriname,total,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Sweden,total,2020-02-11,1,0,0,NA,NA,NA,NA,NA,NA,1,NA
Switzerland,total,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Syria,total,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Taiwan*,total,2020-02-11,18,1,0,NA,NA,NA,NA,NA,NA,17,NA
Tanzania,total,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Thailand,total,2020-02-11,33,10,0,NA,NA,NA,NA,NA,NA,23,NA
Timor-Leste,total,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Togo,total,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Trinidad and Tobago,total,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Tunisia,total,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Turkey,total,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Uganda,total,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Ukraine,total,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
United Arab Emirates,total,2020-02-11,8,0,0,NA,NA,NA,NA,NA,NA,8,NA
United Kingdom,total,2020-02-11,8,0,0,NA,NA,NA,NA,NA,NA,8,NA
United Kingdom,Anguilla,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
United Kingdom,Bermuda,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
United Kingdom,British Virgin Islands,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
United Kingdom,Cayman Islands,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
United Kingdom,Channel Islands,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
United Kingdom,Gibraltar,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
United Kingdom,Isle of Man,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
United Kingdom,Montserrat,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
United Kingdom,Turks and Caicos Islands,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Uruguay,total,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
US,total,2020-02-11,12,3,0,NA,NA,NA,NA,NA,NA,9,NA
Uzbekistan,total,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Venezuela,total,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Vietnam,total,2020-02-11,15,6,0,NA,NA,NA,NA,NA,NA,9,NA
West Bank and Gaza,total,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Zambia,total,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Zimbabwe,total,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Australia,total,2020-02-11,15,2,0,NA,NA,NA,NA,NA,NA,13,NA
Canada,total,2020-02-11,7,0,0,NA,NA,NA,NA,NA,NA,7,NA
China,total,2020-02-11,44386,4636,1112,NA,NA,NA,185037,NA,7333,38638,NA
Denmark,total,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
France,total,2020-02-11,11,0,0,NA,NA,NA,NA,NA,NA,11,NA
Netherlands,total,2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
United Kingdom,total,2020-02-11,8,0,0,NA,NA,NA,NA,NA,NA,8,NA
Afghanistan,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Albania,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Algeria,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Andorra,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Angola,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Antigua and Barbuda,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Argentina,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Armenia,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Australia,Australian Capital Territory,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Australia,New South Wales,2020-02-12,4,2,0,NA,NA,NA,NA,NA,NA,2,NA
Australia,Northern Territory,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Australia,Queensland,2020-02-12,5,0,0,NA,NA,NA,NA,NA,NA,5,NA
Australia,South Australia,2020-02-12,2,0,0,NA,NA,NA,NA,NA,NA,2,NA
Australia,Tasmania,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Australia,Victoria,2020-02-12,4,0,0,NA,NA,NA,NA,NA,NA,4,NA
Australia,Western Australia,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Austria,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Azerbaijan,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Bahamas,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Bahrain,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Bangladesh,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Barbados,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Belarus,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Belgium,total,2020-02-12,1,0,0,NA,NA,NA,NA,NA,NA,1,NA
Belize,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Benin,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Bhutan,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Bolivia,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Bosnia and Herzegovina,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Brazil,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Brunei,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Bulgaria,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Burkina Faso,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Burma,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Cabo Verde,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Cambodia,total,2020-02-12,1,1,0,NA,NA,NA,NA,NA,NA,0,NA
Cameroon,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Canada,Alberta,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Canada,British Columbia,2020-02-12,4,0,0,NA,NA,NA,NA,NA,NA,4,NA
Canada,Diamond Princess,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Canada,Grand Princess,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Canada,Manitoba,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Canada,New Brunswick,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Canada,Newfoundland and Labrador,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Canada,Northwest Territories,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Canada,Nova Scotia,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Canada,Ontario,2020-02-12,3,0,0,NA,NA,NA,NA,NA,NA,3,NA
Canada,Prince Edward Island,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Canada,Quebec,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Canada,Recovered,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Canada,Saskatchewan,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Canada,Yukon,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Central African Republic,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Chad,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Chile,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
China,Anhui,2020-02-12,889,127,4,NA,NA,NA,NA,NA,NA,758,NA
China,Beijing,2020-02-12,352,56,3,NA,NA,NA,NA,NA,NA,293,NA
China,Chongqing,2020-02-12,518,102,3,NA,NA,NA,NA,NA,NA,413,NA
China,Fujian,2020-02-12,272,53,0,NA,NA,NA,NA,NA,NA,219,NA
China,Gansu,2020-02-12,87,31,2,NA,NA,NA,NA,NA,NA,54,NA
China,Guangdong,2020-02-12,1219,275,1,NA,NA,NA,NA,NA,NA,943,NA
China,Guangxi,2020-02-12,222,33,1,NA,NA,NA,NA,NA,NA,188,NA
China,Guizhou,2020-02-12,133,18,1,NA,NA,NA,NA,NA,NA,114,NA
China,Hainan,2020-02-12,157,27,4,NA,NA,NA,NA,NA,NA,126,NA
China,Hebei,2020-02-12,251,54,2,NA,NA,NA,NA,NA,NA,195,NA
China,Heilongjiang,2020-02-12,378,31,8,NA,NA,NA,NA,NA,NA,339,NA
China,Henan,2020-02-12,1135,246,8,NA,NA,NA,NA,NA,NA,881,NA
China,Hong Kong,2020-02-12,50,1,1,NA,NA,NA,NA,NA,NA,48,NA
China,Hubei,2020-02-12,33366,2686,1068,NA,NA,NA,NA,NA,7258,29612,NA
China,Hunan,2020-02-12,946,304,2,NA,NA,NA,NA,NA,NA,640,NA
China,Inner Mongolia,2020-02-12,60,6,0,NA,NA,NA,NA,NA,NA,54,NA
China,Jiangsu,2020-02-12,543,125,0,NA,NA,NA,NA,NA,NA,418,NA
China,Jiangxi,2020-02-12,844,152,1,NA,NA,NA,NA,NA,NA,691,NA
China,Jilin,2020-02-12,83,22,1,NA,NA,NA,NA,NA,NA,60,NA
China,Liaoning,2020-02-12,116,20,1,NA,NA,NA,NA,NA,NA,95,NA
China,Macau,2020-02-12,10,2,0,NA,NA,NA,NA,NA,NA,8,NA
China,Ningxia,2020-02-12,58,24,0,NA,NA,NA,NA,NA,NA,34,NA
China,Qinghai,2020-02-12,18,9,0,NA,NA,NA,NA,NA,NA,9,NA
China,Shaanxi,2020-02-12,225,43,0,NA,NA,NA,NA,NA,NA,182,NA
China,Shandong,2020-02-12,497,92,2,NA,NA,NA,NA,NA,NA,403,NA
China,Shanghai,2020-02-12,311,57,1,NA,NA,NA,NA,NA,NA,253,NA
China,Shanxi,2020-02-12,126,33,0,NA,NA,NA,NA,NA,NA,93,NA
China,Sichuan,2020-02-12,436,92,1,NA,NA,NA,NA,NA,NA,343,NA
China,Tianjin,2020-02-12,112,11,2,NA,NA,NA,NA,NA,NA,99,NA
China,Tibet,2020-02-12,1,1,0,NA,NA,NA,NA,NA,NA,0,NA
China,Xinjiang,2020-02-12,59,3,0,NA,NA,NA,NA,NA,NA,56,NA
China,Yunnan,2020-02-12,154,26,0,NA,NA,NA,NA,NA,NA,128,NA
China,Zhejiang,2020-02-12,1131,321,0,NA,NA,NA,NA,NA,NA,810,NA
Colombia,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Congo (Brazzaville),total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Congo (Kinshasa),total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Costa Rica,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Cote d'Ivoire,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Croatia,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Cuba,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Cyprus,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Czechia,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Denmark,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Denmark,Faroe Islands,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Denmark,Greenland,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Diamond Princess,total,2020-02-12,175,0,0,NA,NA,NA,NA,NA,NA,175,NA
Djibouti,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Dominica,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Dominican Republic,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Ecuador,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Egypt,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
El Salvador,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Equatorial Guinea,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Eritrea,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Estonia,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Eswatini,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Ethiopia,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Fiji,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Finland,total,2020-02-12,1,1,0,NA,NA,NA,NA,NA,NA,0,NA
France,total,2020-02-12,11,2,0,NA,NA,NA,NA,NA,NA,9,NA
France,French Guiana,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
France,French Polynesia,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
France,Guadeloupe,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
France,Martinique,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
France,Mayotte,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
France,New Caledonia,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
France,Reunion,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
France,Saint Barthelemy,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
France,St Martin,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Gabon,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Gambia,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Georgia,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Germany,total,2020-02-12,16,0,0,NA,NA,NA,NA,NA,NA,16,NA
Ghana,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Greece,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Grenada,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Guatemala,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Guinea,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Guinea-Bissau,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Guyana,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Haiti,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Holy See,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Honduras,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Hungary,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Iceland,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
India,total,2020-02-12,3,0,0,NA,NA,NA,NA,NA,NA,3,NA
Indonesia,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Iran,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Iraq,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Ireland,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Israel,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Jamaica,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Japan,total,2020-02-12,28,9,0,NA,NA,NA,NA,NA,NA,19,NA
Jordan,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Kazakhstan,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Kenya,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
"Korea, South",total,2020-02-12,28,7,0,NA,NA,NA,NA,NA,NA,21,NA
Kosovo,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Kuwait,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Kyrgyzstan,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Laos,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Latvia,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Lebanon,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Liberia,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Libya,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Liechtenstein,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Lithuania,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Luxembourg,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Madagascar,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Malaysia,total,2020-02-12,18,3,0,NA,NA,NA,NA,NA,NA,15,NA
Maldives,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Mali,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Malta,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Mauritania,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Mauritius,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Mexico,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Moldova,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Monaco,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Mongolia,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Montenegro,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Morocco,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Mozambique,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
MS Zaandam,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Namibia,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Nepal,total,2020-02-12,1,1,0,NA,NA,NA,NA,NA,NA,0,NA
Netherlands,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Netherlands,Aruba,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Netherlands,Curacao,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Netherlands,Sint Maarten,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
New Zealand,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Nicaragua,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Niger,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Nigeria,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
North Macedonia,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Norway,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Oman,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Pakistan,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Panama,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Papua New Guinea,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Paraguay,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Peru,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Philippines,total,2020-02-12,3,1,1,NA,NA,NA,NA,NA,NA,1,NA
Poland,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Portugal,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Qatar,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Romania,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Russia,total,2020-02-12,2,2,0,NA,NA,NA,NA,NA,NA,0,NA
Rwanda,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Saint Kitts and Nevis,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Saint Lucia,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Saint Vincent and the Grenadines,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
San Marino,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Saudi Arabia,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Senegal,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Serbia,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Seychelles,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Singapore,total,2020-02-12,50,15,0,NA,NA,NA,NA,NA,NA,35,NA
Slovakia,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Slovenia,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Somalia,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
South Africa,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Spain,total,2020-02-12,2,0,0,NA,NA,NA,NA,NA,NA,2,NA
Sri Lanka,total,2020-02-12,1,1,0,NA,NA,NA,NA,NA,NA,0,NA
Sudan,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Suriname,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Sweden,total,2020-02-12,1,0,0,NA,NA,NA,NA,NA,NA,1,NA
Switzerland,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Syria,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Taiwan*,total,2020-02-12,18,1,0,NA,NA,NA,NA,NA,NA,17,NA
Tanzania,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Thailand,total,2020-02-12,33,10,0,NA,NA,NA,NA,NA,NA,23,NA
Timor-Leste,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Togo,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Trinidad and Tobago,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Tunisia,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Turkey,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Uganda,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Ukraine,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
United Arab Emirates,total,2020-02-12,8,1,0,NA,NA,NA,NA,NA,NA,7,NA
United Kingdom,total,2020-02-12,9,1,0,NA,NA,NA,NA,NA,NA,8,NA
United Kingdom,Anguilla,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
United Kingdom,Bermuda,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
United Kingdom,British Virgin Islands,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
United Kingdom,Cayman Islands,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
United Kingdom,Channel Islands,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
United Kingdom,Gibraltar,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
United Kingdom,Isle of Man,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
United Kingdom,Montserrat,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
United Kingdom,Turks and Caicos Islands,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Uruguay,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
US,total,2020-02-12,12,3,0,NA,NA,NA,NA,NA,NA,9,NA
Uzbekistan,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Venezuela,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Vietnam,total,2020-02-12,15,6,0,NA,NA,NA,NA,NA,NA,9,NA
West Bank and Gaza,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Zambia,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Zimbabwe,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Australia,total,2020-02-12,15,2,0,NA,NA,NA,NA,NA,NA,13,NA
Canada,total,2020-02-12,7,0,0,NA,NA,NA,NA,NA,NA,7,NA
China,total,2020-02-12,44759,5082,1117,NA,NA,NA,181386,NA,8204,38560,NA
Denmark,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
France,total,2020-02-12,11,2,0,NA,NA,NA,NA,NA,NA,9,NA
Netherlands,total,2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
United Kingdom,total,2020-02-12,9,1,0,NA,NA,NA,NA,NA,NA,8,NA
Afghanistan,total,2020-02-13,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Albania,total,2020-02-13,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Algeria,total,2020-02-13,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Andorra,total,2020-02-13,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Angola,total,2020-02-13,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Antigua and Barbuda,total,2020-02-13,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Argentina,total,2020-02-13,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
